Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Pengaruh Kinerja Keuangan Terhadap Return Saham Perusahaan Pertambangan,http://jurnaltsm.id/index.php/JBA/article/view/616,10.21154/niqosiya.v2i2.547,True,Pengaruh Kinerja Keuangan Terhadap Return Saham Perusahaan Pertambangan.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Niqosiya: Journal of Economics and Business Research,True,Scholar,"Ocfrin, Fergyani and Syaipudin, Usep and Azhar, Rialdi and Oktavia, Reni"
Literature Review: Prospek Peningkatan Suku Bunga terhadap Nilai Perusahaan dan Return Saham,https://journal.ipm2kpe.or.id/index.php/COSTING/article/view/4906,10.31539/costing.v6i2.4906,True,Literature Review_ Prospek Peningkatan Suku Bunga terhadap Nilai Perusahaan dan Return Saham.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Journal of Economic, Bussines and Accounting (COSTING)",True,Scholar,"Ernayani, Rihfenti and Asnawi, Muhammad Imam and Lumentah, Natalia Reyne and Moridu, Irwan and Lestari, Winda"
Praktik Jual Beli Saham Syari'ah Perspektif Hukum Islam,https://publikasiilmiah.unwahas.ac.id/index.php/IQTISAD/article/view/2207,10.21154/antologihukum.v2i1.1204,True,Praktik Jual Beli Saham Syari_ah Perspektif Hukum Islam.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Antologi Hukum,True,Scholar,"Munawaroh, Nadhatul and Abdullah, Fuady and Ningrum, Trisna Setya"
"Pengaruh Roe, Der, Per, dan nilai tukar terhadap return saham",https://ojs.unud.ac.id/index.php/Manajemen/article/download/45717/30114,10.59422/margin.v1i01.32,True,Pengaruh Roe_ Der_ Per_ dan nilai tukar terhadap return saham.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Margin: Jurnal Lentera Managemen Keuangan,True,Scholar,"Budiman, Monika and Premana, Villia and Maryadi, Adi"
"Pengaruh Return on Equity, Current Ratio Dan Debt To Equity Ratio Terhadap Harga Saham",https://repository.iptrisakti.ac.id/1451/,10.29080/jai.v6i01.241,True,Pengaruh Return on Equity_ Current Ratio Dan Debt To Equity Ratio Terhadap Harga Saham.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Akuntansi : Jurnal Akuntansi Integratif,True,Scholar,"Kurnia, Dewi -"
"Likuiditas, Solvabilitas, Aktivitas Dan Profitabilitas Terhadap Harga Saham Pada Perusahaan Sektor Tambangan Batu Bara Yang Terdaftar Di Bursa Efek Indonesia",https://www.journal.unrika.ac.id/index.php/measurement/article/view/4264,10.32877/eb.v4i2.276,True,Likuiditas_ Solvabilitas_ Aktivitas Dan Profitabilitas Terhadap Harga Saham Pada Perusahaan Sektor Tambangan Batu Bara Yang Terdaftar Di Bursa Efek Indonesia.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",eCo-Buss,True,Scholar,"Gui, Shalvy and Wage, Sunarto"
Faktor-faktor yang mempengaruhi pengambilan keputusan investasi saham,http://ecojoin.org/index.php/EJE/article/view/669,10.52644/joeb.v13i1.1370,True,,2024,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Economics and Business UBS,False,,"Febrianti, Ervina and Bakhtiar, M. Rifki"
"Pengaruh profitabilitas, likuiditas, dan leverage terhadap return saham perusahaan manufaktur di BEI",https://jurnal.pcr.ac.id/index.php/jakb/article/view/2499,10.35143/jakb.v12i2.2499,True,Pengaruh profitabilitas_ likuiditas_ dan leverage terhadap return saham perusahaan manufaktur di BEI.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Akuntansi Keuangan dan Bisnis,True,Scholar,"Br purba, Neni Marlina"
PROFIL KINERJA RETURN DAN RESIKO PADA SAHAM TIDAK BERETIKA: STUDI KASUS PERUSAHAAN ROKOK DI INDONESIA,https://scholar.archive.org/work/fxegwpquvjes7lbok4s4enfpku/access/wayback/http://jurnal.untidar.ac.id/index.php/RAK/article/download/1376/936,10.31002/rak.v4i1.1376,True,PROFIL KINERJA RETURN DAN RESIKO PADA SAHAM TIDAK BERETIKA_ STUDI KASUS PERUSAHAAN ROKOK DI INDONESIA.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal RAK (Riset Akuntansi Keuangan),True,Scholar,"eky ermal, m"
Pengaruh Manajemen Laba Terhadap Return Saham Dengan Variabel Kontrol Return on Equity Pada Perusahaan Manufaktur Dalam Bursa Efek Indonesia,https://ejurnal.teknokrat.ac.id/index.php/technobiz/article/view/1390,10.33365/tb.v4i2.1390,True,Pengaruh Manajemen Laba Terhadap Return Saham Dengan Variabel Kontrol Return on Equity Pada Perusahaan Manufaktur Dalam Bursa Efek Indonesia.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",TECHNOBIZâ€¯: International Journal of Business,True,Scholar,"Kencana, Dwi Tirta"
Pengaruh Rasio Profitabilitas Terhadap Harga Saham Perusahaan Perbankan yang Terdaftar di Bursa Efek Indonesia pada Tahun 2015-2021,https://journal.laaroiba.ac.id/index.php/manageria/article/view/2093,10.32877/eb.v4i3.301,True,Pengaruh Rasio Profitabilitas Terhadap Harga Saham Perusahaan Perbankan yang Terdaftar di Bursa Efek Indonesia pada Tahun 2015-2021.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",eCo-Buss,True,Scholar,"Veronica, Veronica and Natalia, Erni Yanti"
Pendirian Perseroan Terbatas Perseorangan Serta Tanggung Jawab Hukum Pemegang Saham Berdasarkan Undang-Undang Cipta Kerja,https://ejournal.undip.ac.id/index.php/notarius/article/view/43800,10.14710/nts.v14i2.43800,True,Pendirian Perseroan Terbatas Perseorangan Serta Tanggung Jawab Hukum Pemegang Saham Berdasarkan Undang-Undang Cipta Kerja.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Notarius,True,Scholar,"Harahap, Yuliana Duti and Santoso, Budi and Prasetyo, Mujiono Hafidh"
"Pengaruh ROE, BVPS, dan Volume Perdagangan Saham Terhadap Return Saham",https://scholar.archive.org/work/ln673hwyqnaaloujh3sfrnuyqi/access/wayback/https://ejournal.unsri.ac.id/index.php/jp/article/download/11875/pdf,10.36706/jp.v7i2.11875,True,Pengaruh ROE_ BVPS_ dan Volume Perdagangan Saham Terhadap Return Saham.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal PROFIT Kajian Pendidikan Ekonomi dan Ilmu Ekonomi,True,Scholar,"Jefri, Jefri and Siregar, Edo S and Kurnianti, Destria"
Determinasi Harga Saham Perusahaan Manufaktur Subsektor Makanan dan Minuman,https://jiemar.org/index.php/jiemar/article/view/37,10.31294/moneter.v9i1.11448,True,Determinasi Harga Saham Perusahaan Manufaktur Subsektor Makanan dan Minuman.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Moneter - Jurnal Akuntansi dan Keuangan,True,Scholar,"Ningsih, Wahyu and Ermalina, Ermalina"
Wakaf Saham dalam Meningkatkan Investasi Saham Syariah di Indonesia,https://jurnal.unipasby.ac.id/index.php/majalah_ekonomi/article/view/2066,10.36456/majeko.vol24.no2.a2066,True,Wakaf Saham dalam Meningkatkan Investasi Saham Syariah di Indonesia.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Majalah Ekonomi,True,Scholar,"Prasetyo, Aji"
Determinan return saham pada perusahaan manufaktur periode 2016-2020 dengan analisis rasio keuangan,http://www.ejournal.imperiuminstitute.org/index.php/AKURASI/article/view/929,10.36407/akurasi.v5i2.929,True,Determinan return saham pada perusahaan manufaktur periode 2016-2020 dengan analisis rasio keuangan.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",AKURASI: Jurnal Riset Akuntansi dan Keuangan,True,Scholar,"Karyatun, Subur"
Pengaruh Rasio Keuangan Dan Ukuran Perusahaan Terhadap Harga Saham,https://garuda.kemdikbud.go.id/documents/detail/2541225,10.18860/iq.v19i2.19273,True,,2023,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",IQTISHODUNA,False,,"Ersyafdi, Ilham Ramadhan and Aslamiyah, Zakiyah"
"Return on asset, return on equity, dan earning per share berpengaruh terhadap return saham",https://www.academia.edu/download/81543610/33870.pdf,10.34308/eqien.v11i04.1286,True,,2022,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Eqien - Jurnal Ekonomi dan Bisnis,False,,"Tesniwati, Rini and Sriyanto, Sriyanto and Windarti, Ira and Rakhmita, Fadia"
Covid 19 dan harga saham perbankan di Indonesia,http://eksis.unbari.ac.id/index.php/EKSIS/article/view/178,10.33087/eksis.v11i1.178,True,Covid 19 dan harga saham perbankan di Indonesia.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=saham&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Eksis: Jurnal Ilmiah Ekonomi dan Bisnis,True,Scholar,"Putri, Hana Tamara"
