Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Kebijakan Moneter Terkini: Implikasi bagi Investasi dan Konsumsi Domestik,http://www.circle-archive.com/index.php/carc/article/view/188,,False,Kebijakan Moneter Terkini_ Implikasi bagi Investasi dan Konsumsi Domestik.pdf,2024,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,C Matondang
Faktor-faktor yang mempengaruhi pengambilan keputusan investasi saham,http://ecojoin.org/index.php/EJE/article/view/669,10.52644/joeb.v13i1.1370,True,,2024,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Economics and Business UBS,False,,"Febrianti, Ervina and Bakhtiar, M. Rifki"
Pengaruh Pengetahuan Tentang Pasar Modal Syariah Terhadap Minat Investasi Saham di Pasar Modal Syariah,http://www.jurnaljipsya.org/index.php/jipsya/article/view/39,10.30596/ekonomikawan.v23i2.11034,True,,2023,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Ekonomikawan: Jurnal Ilmu Ekonomi dan Studi Pembangunan,False,,"Alfarauq, Adzkya Dzulda and Yusup, Deni Kamaludin"
"Keputusan Investasi Berdasarkan Literasi Keuangan, Pengetahuan Investasi dan Persepsi Risiko",https://www.jurnal.goretanpena.com/index.php/JSSR/article/view/1352,,False,Keputusan Investasi Berdasarkan Literasi Keuangan_ Pengetahuan Investasi dan Persepsi Risiko.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,
"Risiko Investasi Pada Tiga Jenis Investasi Yang Populer Di Indonesia (Saham, Reksadana, Dan Obligasi) Metode Value At Risk",http://tahtamedia.co.id/index.php/issj/article/view/671,,False,Risiko Investasi Pada Tiga Jenis Investasi Yang Populer Di Indonesia _Saham_ Reksadana_ Dan Obligasi_ Metode Value At Risk.pdf,2024,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,R Firdaus;G Djuanda
Pengaruh investasi dan inflasi terhadap pertumbuhan ekonomi di kota makassar,https://jurnal.feb-umi.id/index.php/JER/article/view/460,10.31539/costing.v7i1.6407,True,Pengaruh investasi dan inflasi terhadap pertumbuhan ekonomi di kota makassar.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Journal of Economic, Bussines and Accounting (COSTING)",True,Scholar,"Suprianto, Achmad Albar Permana and Primandhana, Wiwin Priana"
Analisis Konsep Investasi Dalam Islam,https://www.jurnal.staialhidayahbogor.ac.id/index.php/ad/article/view/3059,10.19109/wardah.v21i1.5822,True,Analisis Konsep Investasi Dalam Islam.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Wardah,True,Scholar,"Binti Khalid, Ainor Syuhadah and Putri, Intan Delsa"
Perilaku Keuangan Berkelanjutan: Dampak Investasi Sosial dan Lingkungan,https://jurnal.syntax-idea.co.id/index.php/syntax-idea/article/view/2851,10.46799/syntax-idea.v5i12.2851,True,Perilaku Keuangan Berkelanjutan_ Dampak Investasi Sosial dan Lingkungan.pdf,2024,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Syntax Idea,True,Scholar,"Susanto, Eddy and Kadek Sirnawati, Ni"
Pengaruh Pengetahuan Investasi Di Pasar Modal Terhadap Minat Berinvestasi Mahasiswa,https://ijsr.internationaljournallabs.com/index.php/ijsr/article/view/51,10.55324/josr.v1i3.51,True,Pengaruh Pengetahuan Investasi Di Pasar Modal Terhadap Minat Berinvestasi Mahasiswa.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Social Research,True,Scholar,"Syaputra, Andryan and Aslami, Nuri"
Perlindungan Hukum Terhadap Investor pada Investasi Illegal Secara Online dalam Perspektif Viktimologi,https://e-jurnal.lppmunsera.org/index.php/ajudikasi/article/view/4687,10.30656/ajudikasi.v6i2.4687,True,Perlindungan Hukum Terhadap Investor pada Investasi Illegal Secara Online dalam Perspektif Viktimologi.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Ajudikasi : Jurnal Ilmu Hukum,True,Scholar,"Hermawanti, Kori and Sopiyanti, Intan Nuraini and Nufus, Hanifah Zakiyatun and Kuswandi, Kuswandi"
BUKU AJAR MANAJEMEN INVESTASI DAN PORTOFOLIO,http://tahtamedia.co.id/index.php/issj/article/download/406/402,,False,BUKU AJAR MANAJEMEN INVESTASI DAN PORTOFOLIO.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,AP Aslam
Waspada Investasi Ilegal di Indonesia,https://ejournal.bsi.ac.id/ejurnal/index.php/perspektif/article/view/12518,10.31294/jp.v20i1.12518,True,Waspada Investasi Ilegal di Indonesia.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Jurnal Perspektif,True,Scholar,"Tambunan, Diana and Hendarsih, Ida"
Pengenalan Dasar-Dasar Investasi Pada Guru-Guru Madrasah Al-Quba,https://stp-mataram.e-journal.id/Amal/article/view/886,,False,Pengenalan Dasar-Dasar Investasi Pada Guru-Guru Madrasah Al-Quba.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,
"Pengaruh Keputusan Investasi, Keputusan Pendanaan, Kebijakan Deviden, Profitabilitas, dan Ukuran Dewan Komisaris Terhadap Nilai Perusahaan",http://repository.urecol.org/index.php/proceeding/article/view/2327,10.33197/bes.vol2.iss2.2022.1814,True,Pengaruh Keputusan Investasi_ Keputusan Pendanaan_ Kebijakan Deviden_ Profitabilitas_ dan Ukuran Dewan Komisaris Terhadap Nilai Perusahaan.pdf,2024,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Jurnal Bisnis, Ekonomi, dan Sains",True,Scholar,"Sarumpaet, Tetty Lasniroha and Rahmanda, Violeta"
Determinasi Faktor-Faktor Mempengaruhi Keputusan Investasi Investor Pemula Dengan Dimoderasi Risk Tolerance,https://www.journal.lppmpelitabangsa.id/index.php/akubis/article/view/852,,False,Determinasi Faktor-Faktor Mempengaruhi Keputusan Investasi Investor Pemula Dengan Dimoderasi Risk Tolerance.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=investasi&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,
